time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,UAE Division 1,REGULAR,RAINY,2,2,5,7,0,5,4,3,38,36,51,46,43%,57%,True
fh,UAE Division 1,REGULAR,RAINY,0,0,1,3,2,4,3,14,45,90,100,112,46%,54%,False
lh,UAE Division 1,REGULAR,RAINY,1,3,1,3,0,0,2,6,20,41,52,59,48%,52%,False
fh,UAE U19 League,WETANDFAST,RAINY,2,0,4,2,4,4,4,2,72,69,121,111,55%,45%,True
lh,UAE U19 League,WETANDFAST,RAINY,2,0,1,4,3,2,4,0,35,32,61,53,56%,44%,True
fh,UAE Division 1,GOOD,GOOD,0,1,0,1,5,6,7,5,38,42,78,88,45%,55%,False
lh,UAE Division 1,GOOD,GOOD,1,2,1,3,2,3,3,2,14,23,39,48,41%,59%,True
fh,UAE Reserve League,GOOD,GOOD,3,0,1,1,14,0,9,2,111,42,131,92,58%,42%,False
lh,UAE Reserve League,GOOD,GOOD,5,0,3,1,9,0,2,0,56,18,66,43,60%,40%,True
fh,UAE Reserve League,GOOD,GOOD,0,1,3,4,9,2,3,1,60,61,78,77,53%,47%,True
lh,UAE Reserve League,GOOD,GOOD,1,2,2,1,7,1,2,0,30,33,32,36,49%,51%,True
fh,UAE Reserve League,GOOD,GOOD,1,1,2,2,5,7,5,6,40,37,61,75,48%,52%,False
lh,UAE Reserve League,GOOD,GOOD,1,3,2,2,2,3,4,1,21,11,31,38,56%,44%,True
fh,UAE U19 League,GOOD,GOOD,3,0,7,0,20,2,25,2,87,6,101,13,66%,34%,False
lh,UAE U19 League,GOOD,GOOD,6,2,4,0,9,0,12,0,42,1,49,5,68%,32%,False
fh,England Southern Pr...,GOOD,GOOD,0,0,0,5,3,1,4,6,31,42,68,69,54%,46%,True
lh,England Southern Pr...,GOOD,GOOD,0,0,6,2,1,0,2,2,21,18,35,33,55%,45%,True
fh,Morocco League Women,GOOD,GOOD,0,1,2,2,2,7,7,4,28,28,58,59,56%,44%,False
lh,Morocco League Women,GOOD,GOOD,1,2,1,3,1,3,3,1,13,13,23,30,50%,50%,False
fh,Israel Premier League,GOOD,GOOD,0,0,1,3,4,3,4,7,82,41,76,59,62%,38%,True
lh,Israel Premier League,GOOD,GOOD,2,1,2,1,2,2,0,5,38,24,43,31,61%,39%,False
fh,Hong Kong Women Pre...,GOOD,GOOD,0,0,1,0,3,4,3,6,56,64,98,88,54%,46%,False
lh,Hong Kong Women Pre...,GOOD,GOOD,1,1,2,3,0,1,1,2,23,28,56,46,56%,44%,False
fh,Algeria Youth League,GOOD,GOOD,1,0,4,1,7,2,4,1,44,23,67,54,58%,42%,True
lh,Algeria Youth League,GOOD,GOOD,2,1,1,2,3,1,2,0,25,7,38,24,68%,32%,False
fh,Palestine West Bank...,GOOD,GOOD,0,1,2,2,6,3,10,3,54,35,101,86,56%,44%,False
lh,Palestine West Bank...,GOOD,GOOD,1,1,5,0,1,2,6,2,21,22,52,45,60%,40%,False
fh,Hong Kong Women Pre...,GOOD,GOOD,0,1,1,0,6,4,6,3,53,43,69,64,47%,53%,False
lh,Hong Kong Women Pre...,GOOD,GOOD,0,2,3,2,1,3,1,0,24,16,36,41,45%,55%,True
fh,Algeria Youth League,GOOD,GOOD,0,1,0,4,5,5,3,2,22,31,61,65,40%,60%,False
lh,Algeria Youth League,GOOD,GOOD,0,3,3,1,0,2,1,1,7,16,25,32,34%,66%,False
fh,Algeria Youth League,GOOD,GOOD,2,0,2,1,10,3,7,1,89,63,101,97,56%,44%,True
lh,Algeria Youth League,GOOD,GOOD,2,0,3,1,7,2,2,1,46,31,48,45,59%,41%,True
fh,Algeria Youth League,GOOD,GOOD,1,0,1,0,6,1,12,1,53,25,73,68,55%,45%,True
lh,Algeria Youth League,GOOD,GOOD,1,0,4,1,4,0,6,1,27,12,35,34,53%,47%,False
fh,Algeria Youth League,GOOD,GOOD,1,1,3,3,4,4,1,13,52,72,119,132,38%,62%,True
lh,Algeria Youth League,GOOD,GOOD,2,2,2,6,3,2,1,6,30,24,55,62,40%,60%,False
fh,Algeria Youth League,GOOD,GOOD,0,0,1,4,3,1,0,4,18,33,57,73,42%,58%,True
